us_l4name,status,message,timestamp,,,
Pine Ridge Escarpment,retried,"Creation failed.
",12:08.7,,,
Rolling Sand Plains,retried,"Creation failed.
",12:54.0,,,
Pine Ridge Escarpment,success,NA,20:03.1,,,
Rolling Sand Plains,success,NA,20:08.5,,,
Moderate Relief Plains,success,NA,23:08.1,,,
Flat to Rolling Plains,success,NA,28:42.4,,,
Canadian/Cimarron High Plains,success,NA,31:14.2,,,
Pine Bluffs and Hills,success,NA,31:54.9,,,
Sandy and Silty Tablelands,success,NA,33:58.0,,,
Platte River Valley and Terraces,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",37:08.4,,,
Shinnery Sands,success,NA,37:50.5,,,
Arid Llano Estacado,success,NA,38:59.6,,,
Front Range Fans,success,NA,44:14.6,,,
Canadian/Cimarron Breaks,success,NA,48:16.4,,,
Flat Tablelands and Valleys,success,NA,49:46.4,,,
"Caprock Canyons, Badlands, and Breaks",success,NA,54:50.6,,,
Semiarid Canadian Breaks,success,NA,56:16.1,,,
Piedmont Plains and Tablelands,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",59:25.6,,,
Mesa de Maya/Black Mesa,success,NA,01:09.4,,,
Purgatoire Hills and Canyons,success,NA,03:04.3,,,
Pinyon-Juniper Woodlands and Savannas,success,NA,04:23.7,,,
Pine-Oak Woodlands,success,NA,06:11.1,,,
Foothill Grasslands,success,NA,07:41.7,,,
Sandsheets,success,NA,07:52.9,,,
Upper Canadian Plateau,success,NA,09:28.1,,,
Canadian Canyons,success,NA,14:56.7,,,
Conchas/Pecos Plains,success,NA,16:35.5,,,
Central New Mexico Plains,success,NA,18:19.0,,,
Pluvial Lake Basins,success,NA,18:35.8,,,
Southern New Mexico Dissected Plains,success,NA,19:29.6,,,
Smoky Hills,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",22:40.6,,,
Rolling Plains and Breaks,success,NA,30:17.4,,,
Great Bend Sand Prairie,success,NA,32:14.8,,,
Prairie Tableland,success,NA,35:31.1,,,
Central Nebraska Loess Plains,success,NA,40:04.4,,,
Rainwater Basin Plains,success,NA,44:19.7,,,
Platte River Valley,success,NA,47:46.8,,,
Red Prairie,success,NA,51:10.3,,,
Broken Red Plains,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",54:18.8,,,
Limestone Plains,success,NA,56:30.6,,,
Wichita Mountains,success,NA,57:15.2,,,
Pleistocene Sand Dunes,success,NA,58:53.5,,,
Red River Tablelands,success,NA,59:39.3,,,
Gypsum Hills,success,NA,00:45.9,,,
Cross Timbers Transition,success,NA,04:13.1,,,
Salt Plains,success,NA,04:24.8,,,
Rolling Red Hills,success,NA,06:07.1,,,
Limestone Hills,success,NA,06:24.3,,,
Flint Hills,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",09:34.9,,,
Northern Cross Timbers,success,NA,13:49.0,,,
Eastern Cross Timbers,success,NA,19:24.8,,,
Western Cross Timbers,success,NA,25:28.6,,,
Grand Prairie,success,NA,29:42.8,,,
Limestone Cut Plain,success,NA,32:14.0,,,
Carbonate Cross Timbers,success,NA,33:18.1,,,
Arbuckle Uplift,success,NA,34:37.9,,,
Northwestern Cross Timbers,success,NA,36:44.2,,,
Arbuckle Mountains,success,NA,37:03.0,,,
Edwards Plateau Woodland,success,NA,40:10.8,,,
Llano Uplift,success,NA,41:08.8,,,
Balcones Canyonlands,success,NA,43:40.3,,,
Semiarid Edwards Plateau,success,NA,47:22.0,,,
Northern Nueces Alluvial Plains,success,NA,48:14.2,,,
Semiarid Edwards Bajada,success,NA,48:48.1,,,
Texas-Tamaulipan Thornscrub,success,NA,52:22.2,,,
Rio Grande Floodplain and Terraces,success,NA,54:58.6,,,
Northern Blackland Prairie,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",58:10.0,,,
Southern Blackland/Fayette Prairie,success,NA,59:01.6,,,
Floodplains and Low Terraces,success,NA,00:06.1,,,
Northern Humid Gulf Coastal Prairies,success,NA,01:07.7,,,
Southern Subhumid Gulf Coastal Prairies,success,NA,01:58.6,,,
Coastal Sand Plain,success,NA,02:13.4,,,
Lower Rio Grande Valley,success,NA,02:29.3,,,
Lower Rio Grande Alluvial Floodplain,success,NA,02:44.8,,,
Texas-Louisiana Coastal Marshes,success,NA,04:48.2,,,
Mid-Coast Barrier Islands and Coastal Marshes,success,NA,05:18.1,,,
Laguna Madre Barrier Islands and Coastal Marshes,success,NA,05:33.2,,,
Lafayette Loess Plains,success,NA,06:33.2,,,
Loess Flats and Till Plains,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",09:41.9,,,
Osage Cuestas,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",12:45.8,,,
Wooded Osage Plains,success,NA,17:11.1,,,
Cherokee Plains,success,NA,22:01.8,,,
Claypan Prairie,success,NA,25:51.8,,,
Missouri Coteau,success,NA,30:40.4,,,
Collapsed Glacial Outwash,success,NA,31:18.0,,,
Miissouri Coteau Slope,success,NA,33:24.9,,,
Missouri Coteau Slope,success,NA,34:14.3,,,
Northern Missouri Coteau,success,NA,35:03.9,,,
Southern Missouri Coteau,success,NA,36:46.6,,,
Southern Missouri Coteau Slope,success,NA,38:07.6,,,
Ponca Plains,success,NA,39:36.2,,,
Southern River Breaks,success,NA,40:46.6,,,
Glaciated Dark Brown Prairie,success,NA,43:28.1,,,
Glaciated Northern Grasslands,success,NA,47:04.7,,,
Coteau Lakes Upland,success,NA,47:25.2,,,
Sweetgrass Uplands,success,NA,47:46.8,,,
Cherry Patch Moraines,success,NA,48:26.3,,,
Milk River Pothole Upland,success,NA,48:39.0,,,
North Central Brown Glaciated Plains,success,NA,54:51.8,,,
Holt Tablelands,success,NA,55:51.2,,,
Rocky Mountain Front Foothill Potholes,success,NA,56:15.5,,,
Foothill Grassland,success,NA,57:13.5,,,
Missouri Plateau,success,NA,00:43.9,,,
Little Missouri Badlands,success,NA,02:50.1,,,
River Breaks,success,NA,07:04.3,,,
Forested Buttes,success,NA,07:17.5,,,
Sagebrush Steppe,success,NA,10:04.6,,,
Subhumid Pierre Shale Plains,success,NA,12:43.1,,,
Semiarid Pierre Shale Plains,success,NA,18:36.0,,,
White River Badlands,success,NA,20:13.1,,,
Keya Paha Tablelands,success,NA,22:16.7,,,
Moreau Prairie,success,NA,24:52.6,,,
Dense Clay Prairie,success,NA,26:13.6,,,
Missouri Breaks Woodland-Scrubland,success,NA,28:14.5,,,
Judith Basin Grassland,success,NA,29:52.2,,,
Montana Central Grasslands,success,NA,34:47.6,,,
Unglaciated Montana High Plains,success,NA,35:55.5,,,
Pine Scoria Hills,success,NA,38:47.0,,,
Mesic Dissected Plains,success,NA,39:53.9,,,
Niobrara River Breaks,success,NA,40:37.8,,,
Non-calcareous Foothill Grassland,success,NA,41:16.6,,,
Shield-Smith Valleys,success,NA,42:19.2,,,
Limy Foothill Grassland,success,NA,43:03.7,,,
Pryor-Bighorn Foothills,success,NA,44:40.1,,,
Powder River Basin,success,NA,53:30.2,,,
Casper Arch,success,NA,54:27.9,,,
Sand Hills,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",57:36.4,,,
Alkaline Lakes Area,success,NA,57:46.3,,,
Wet Meadow and Marsh Plain,success,NA,58:40.5,,,
Lakes Area,success,NA,59:21.8,,,
Pembina Escarpment,success,NA,59:39.3,,,
Turtle Mountains,success,NA,59:54.5,,,
Glacial Lake Basins,success,NA,00:48.7,,,
Glacial Lake Deltas,success,NA,01:07.8,,,
Tewaukon/Big Stone Stagnation Moraine,success,NA,02:09.0,,,
End Moraine Complex,success,NA,02:25.0,,,
Northern Black Prairie,success,NA,02:47.1,,,
Northern Dark Brown Prairie,success,NA,03:09.4,,,
Drift Plains,success,NA,07:04.6,,,
Glacial Outwash,success,NA,07:21.7,,,
Prairie Coteau,success,NA,09:14.4,,,
Prairie Coteau Escarpment,success,NA,10:19.8,,,
Big Sioux Basin,success,NA,11:00.4,,,
James River Lowland,success,NA,13:18.2,,,
Minnesota River Prairie,success,NA,13:50.5,,,
Loess Prairies,success,NA,16:04.6,,,
Des Moines Lobe,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",19:13.2,,,
Eastern Iowa and Minnesota Drift Plains,success,NA,21:40.6,,,
Missouri Alluvial Plain,error,"no applicable method for 'st_write' applied to an object of class ""NULL""",24:51.8,,,
Steeply Rolling Loess Prairies,success,NA,27:49.7,,,
Rolling Loess Prairies,success,NA,38:00.7,,,
Lower St. Croix and Vermillion Valleys,success,NA,38:38.7,,,
Nebraska/Kansas Loess Hills,success,NA,43:46.3,,,
Loess and Glacial Drift Hills,success,NA,48:32.6,,,
Lower Platte Alluvial Plain,success,NA,49:04.0,,,
Northeastern Nebraska Loess Hills,success,NA,50:34.8,,,
Transitional Sandy Plain,success,NA,51:12.8,,,
Western Loess Hills,success,NA,53:27.7,,,
Glacial Lake Agassiz Basin,success,NA,54:45.7,,,
Beach Ridges and Sand Deltas,success,NA,55:25.3,,,
Saline Area,success,NA,55:37.9,,,
Lake Agassiz Plains,success,NA,56:02.8,,,
Pine Ridge Escarpment,success,NA,6/6/25 10:12Rolling Sand Plains,success,NA,06:26.1