term,dec_lat_va,elev_m,n,skew,slope_deg,ppt_m07_mm,ppt_m06_mm,ppt_m08_mm,dec_long_va,ppt_m04_mm,ppt_m05_mm,ppt_m09_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,ppt_m10_mm,ppt_m01_mm,ppt_m11_mm,tmean_m12_c,ppt_m12_mm,tmean_m03_c,ppt_m02_mm,tmean_m08_c,tmean_m07_c,ppt_m03_mm,tmean_ann_c,tmean_m11_c,tmean_m09_c,tmean_m06_c,tmean_m04_c,tmean_m10_c,tmean_m05_c
dec_lat_va,NA,0.37116454356800077,0.09095120481498545,0.023618140792932212,-0.04912986418687322,-0.04043810265846695,-0.056170179130442456,-0.20235289355286487,-0.1721341830884103,-0.3208742317471209,-0.35515072187223873,-0.4691958864638274,-0.46122319000698514,-0.9328601683385915,-0.9548394756583537,-0.5726661815121222,-0.6297842347579873,-0.5998486048123285,-0.9681754512855932,-0.6368919346304623,-0.9740805342291862,-0.6475290614145139,-0.9298607584778908,-0.9323680072907061,-0.6857126309285624,-0.9781493547137167,-0.9797496705345847,-0.9585122754850061,-0.9415555362549287,-0.9612644427162671,-0.9697141495114742,-0.939160086645315
elev_m,0.37116454356800077,NA,-0.06993550527817542,0.13945830092269113,0.031886272754265685,-0.5519229107067251,-0.7264585516509438,-0.6008704136157615,-0.8419435084695074,-0.721955380849732,-0.7422426677132301,-0.8960631722965914,-0.8782567687543972,-0.1873172973569118,-0.252034537145997,-0.8832890453326291,-0.8238355848006729,-0.8627885673106387,-0.33479232687761495,-0.8652344654087138,-0.3486675092836242,-0.8223382315061759,-0.46039284642303696,-0.46375210772645953,-0.8147711375825403,-0.41495749457308156,-0.4333590708007543,-0.5006739103579637,-0.5497397599494288,-0.504160427243777,-0.5039398839781545,-0.5780277948679722
n,0.09095120481498545,-0.06993550527817542,NA,-0.12344364163367615,-0.012067132445763526,0.10197341228508809,0.08605887271148562,0.10867564804174404,0.11666403854034384,0.014304050828839766,0.01814178161820566,0.05863298947284956,0.023762627334792737,-0.1399708958863888,-0.13011367554606826,0.00550350323010096,-0.01014750203700448,0.0012108291166990513,-0.1178125472599158,-0.005525534400709336,-0.11086979568991019,-0.01789331083544034,-0.10310350067562768,-0.09881605175826344,-0.025548298342986366,-0.09677842721709881,-0.09512540517569287,-0.08160124970478305,-0.061311053337054805,-0.0744447972752454,-0.0765103509918756,-0.0551000547945106
skew,0.023618140792932212,0.13945830092269113,-0.12344364163367615,NA,-5.021191178271539e-4,-0.07915739978142813,-0.06112299856899525,-0.05409088623026639,-0.11326637422248458,0.014887987839250081,-0.04342790736274269,-0.08567549134499883,-0.0777311419375211,0.052306215515291285,0.03267664286897529,-0.08768034475385765,-0.06194858915462694,-0.061673074267547416,0.01888896365557345,-0.07142707079784735,0.004424321191495965,-0.0507814280656073,-0.054839333570601494,-0.053703715369360486,-0.05285790536312819,-0.017020691263134203,-0.01033347372655392,-0.05799890805620407,-0.07532802647655247,-0.03801114768781941,-0.04175400762177365,-0.07187854479420905
slope_deg,-0.04912986418687322,0.031886272754265685,-0.012067132445763526,-5.021191178271539e-4,NA,-0.05676494792345372,-0.06628126569902235,-0.059952614538339284,-0.0502177258691142,-0.018761246019453906,-0.0034278478716830165,-0.002533870771046845,-0.021211116406979372,0.07470824801230876,0.06266164062285072,-0.0024491996288445493,0.035771468230946034,0.021011873711695772,0.06076969016309962,0.02136793639903735,0.047672067102406,0.025921012859291635,0.016274947761913763,0.014221588585477686,0.013217158464225396,0.03947881651138683,0.048217546483879076,0.01945718155781419,0.0122487987552525,0.030154604031074717,0.032809192630061317,0.015448951617656081
ppt_m07_mm,-0.04043810265846695,-0.5519229107067251,0.10197341228508809,-0.07915739978142813,-0.05676494792345372,NA,0.8457027497228724,0.8995332457537328,0.8234239906694134,0.6910763852849284,0.7204747977863836,0.6359783381044143,0.7009760159695905,-0.18224044547393084,-0.11627837516034728,0.4974439387230694,0.32817458601161936,0.4822733480927273,-0.03828759666114667,0.46765730314185094,-0.022646995722499827,0.3966273920222925,0.056249271838498205,0.07305006284952044,0.45696862467747973,0.04237808975912586,0.057179968373371914,0.11890530595858893,0.16379484679166817,0.11350719756265701,0.12063024542086122,0.1792300700247016
ppt_m06_mm,-0.056170179130442456,-0.7264585516509438,0.08605887271148562,-0.06112299856899525,-0.06628126569902235,0.8457027497228724,NA,0.8815472735311239,0.919823038056062,0.8527205163499977,0.8566090372182907,0.7811811305261838,0.8556445288116117,-0.1521785744400248,-0.08434933481909039,0.7139518182345519,0.5576689679780399,0.6884370074304987,0.0036059076210885666,0.6597147334264518,0.01775774356169578,0.6082821611242689,0.12070466357842317,0.13706280625282696,0.6433753149969635,0.08883582063825227,0.10942601782440758,0.17520358078900883,0.22881419543262607,0.18162931936826682,0.1830170479561142,0.25674884896842337
ppt_m08_mm,-0.20235289355286487,-0.6008704136157615,0.10867564804174404,-0.05409088623026639,-0.059952614538339284,0.8995332457537328,0.8815472735311239,NA,0.8701843776452907,0.7933361675342856,0.7793390201026016,0.7112725480923655,0.7857582778498595,-0.03324975325484981,0.03366744303224376,0.6100691520199356,0.46271626267309796,0.606083598999564,0.1167938561310529,0.5912056948860342,0.13386737546990515,0.5255113618088723,0.19069027762819762,0.21682607730335762,0.5888229255380083,0.20033697907533296,0.21881454086164695,0.2674528008610192,0.31499717281617085,0.27361686327684737,0.28134361953807474,0.3325923466483598
dec_long_va,-0.1721341830884103,-0.8419435084695074,0.11666403854034384,-0.11326637422248458,-0.0502177258691142,0.8234239906694134,0.919823038056062,0.8701843776452907,NA,0.8424000938180035,0.8268406606971893,0.8595261684422925,0.8903638774725594,-0.08301727484649386,-0.009306130314540388,0.7795004469482195,0.6581386007870421,0.7659741337069078,0.08857440398523525,0.7471260665681559,0.10465485802597832,0.68728860916225,0.20473615147422441,0.2243475936680618,0.7127674395581338,0.1836113210998383,0.2082076876440254,0.2762636507882221,0.33556209230810247,0.28245812420496297,0.28837554821919703,0.3656305903799903
ppt_m04_mm,-0.3208742317471209,-0.721955380849732,0.014304050828839766,0.014887987839250081,-0.018761246019453906,0.6910763852849284,0.8527205163499977,0.7933361675342856,0.8424000938180035,NA,0.9242699327458664,0.8095912049081809,0.9218596120030774,0.17198813679344913,0.22501779878189543,0.8160060372543753,0.7080515007902696,0.8251274433693548,0.30201045824081046,0.7868484454220057,0.3079677813084162,0.7880750042733752,0.36177409353703593,0.37282321037768534,0.8300906069877361,0.3595319829037556,0.38322313677921793,0.40252245845625073,0.419528045140028,0.41998090311101727,0.4202819139790869,0.44629962514559324
ppt_m05_mm,-0.35515072187223873,-0.7422426677132301,0.01814178161820566,-0.04342790736274269,-0.0034278478716830165,0.7204747977863836,0.8566090372182907,0.7793390201026016,0.8268406606971893,0.9242699327458664,NA,0.8322374322868505,0.9339744412123263,0.20206030675499653,0.2675327044251167,0.8435433887172966,0.720260502857578,0.8370704454910968,0.34367610825182543,0.8138721252923488,0.35749260785705367,0.8093951261378083,0.4372148562305321,0.44413257434031295,0.8428106099778887,0.41089070751434,0.42687504860089043,0.46689374121350646,0.4932645176740193,0.47834597322426725,0.47720706671396557,0.5152010935274354
ppt_m09_mm,-0.4691958864638274,-0.8960631722965914,0.05863298947284956,-0.08567549134499883,-0.002533870771046845,0.6359783381044143,0.7811811305261838,0.7112725480923655,0.8595261684422925,0.8095912049081809,0.8322374322868505,NA,0.9338397226096629,0.2767431081797516,0.34032989597975033,0.9088883592964541,0.8572862070082842,0.9150208679023814,0.42506218225327674,0.90533230600682435,0.4320378780638681,0.8670996629653253,0.48495910276987947,0.4886512104707077,0.869598227630718,0.4879298614356984,0.5161908586685336,0.5464027309239853,0.5893380372045677,0.5707590622263495,0.5703518039603855,0.6277722166785624
ppt_ann_mm,-0.46122319000698514,-0.8782567687543972,0.023762627334792737,-0.0777311419375211,-0.021211116406979372,0.7009760159695905,0.8556445288116117,0.7857582778498595,0.8903638774725594,0.9218596120030774,0.9339744412123263,0.9338397226096629,NA,0.2787368099016236,0.3422979524222447,0.9434758803193632,0.8494791685112395,0.94192767111263,0.42660248446452315,0.9269569590176274,0.4348168472704171,0.9002754503685838,0.5068819574143095,0.5142721645860909,0.9259011704395473,0.49403996100469455,0.5175835045073888,0.5568747395259026,0.5915299766426309,0.5677291540577744,0.5704304744386277,0.6185583391798684
tmean_m01_c,-0.9328601683385915,-0.1873172973569118,-0.1399708958863888,0.052306215515291285,0.07470824801230876,-0.18224044547393084,-0.1521785744400248,-0.03324975325484981,-0.08301727484649386,0.17198813679344913,0.20206030675499653,0.2767431081797516,0.2787368099016236,NA,0.993530987966342,0.41603907123751876,0.5250120235891966,0.46230270168282717,0.9805224902442676,0.4975128355331777,0.9689491886465128,0.5370653424641951,0.8741624477604717,0.8650096526367933,0.558312337475584,0.9395881654641872,0.9430123203409001,0.8755816145227556,0.8352516436923902,0.8901149078064134,0.893239667410762,0.8301117485382337
tmean_m02_c,-0.9548394756583537,-0.252034537145997,-0.13011367554606826,0.03267664286897529,0.06266164062285072,-0.11627837516034728,-0.08434933481909039,0.03366744303224376,-0.009306130314540388,0.22501779878189543,0.2675327044251167,0.34032989597975033,0.3422979524222447,0.993530987966342,NA,0.47260771481165714,0.5629004937550234,0.5121726914081173,0.9930674221378529,0.5478719005883146,0.9887105483671883,0.580684342624771,0.9129810074159066,0.9040077402966334,0.6060958973087823,0.9681576243102291,0.9691935100859874,0.9155072382866748,0.8798581069706826,0.9299839433750641,0.9313338795160964,0.8772437905720943
ppt_m10_mm,-0.5726661815121222,-0.8832890453326291,0.00550350323010096,-0.08768034475385765,-0.0024491996288445493,0.4974439387230694,0.7139518182345519,0.6100691520199356,0.7795004469482195,0.8160060372543753,0.8435433887172966,0.9088883592964541,0.9434758803193632,0.41603907123751876,0.47260771481165714,NA,0.917501207065409,0.9612693802630876,0.5455827296224445,0.9600532445765848,0.554301814738124,0.9444536607867454,0.6238517779419082,0.6266971693454957,0.954618504156044,0.6064085747930017,0.6266310003090055,0.6649694200440781,0.6971238763432603,0.6736293801394783,0.6771186988643404,0.7238851616451827
ppt_m01_mm,-0.6297842347579873,-0.8238355848006729,-0.01014750203700448,-0.06194858915462694,0.035771468230946034,0.32817458601161936,0.5576689679780399,0.46271626267309796,0.6581386007870421,0.7080515007902696,0.720260502857578,0.8572862070082842,0.8494791685112395,0.5250120235891966,0.5629004937550234,0.917501207065409,NA,0.95813272881397,0.6311980837765394,0.9630751343685641,0.6242670864911845,0.9642638744416353,0.6380894275635974,0.6406378246175588,0.9348249400151029,0.6559930665710081,0.6880574061866466,0.6846959434603188,0.712596193559307,0.7130069614598288,0.7136498593732956,0.7448555953476562
ppt_m11_mm,-0.5998486048123285,-0.8627885673106387,0.0012108291166990513,-0.061673074267547416,0.021011873711695772,0.4822733480927273,0.6884370074304987,0.606083598999564,0.7659741337069078,0.8251274433693548,0.8370704454910968,0.9150208679023814,0.94192767111263,0.46230270168282717,0.5121726914081173,0.9612693802630876,0.95813272881397,NA,0.5880257304491553,0.9829437554262521,0.5877769599868237,0.9749294689998741,0.6224990179303228,0.6270562382725229,0.9693605103795263,0.630500926548539,0.6588688331728492,0.6699223206090963,0.699738874179915,0.6928581530029908,0.6933066707806635,0.7292320230670277
tmean_m12_c,-0.9681754512855932,-0.33479232687761495,-0.1178125472599158,0.01888896365557345,0.06076969016309962,-0.03828759666114667,0.0036059076210885666,0.1167938561310529,0.08857440398523525,0.30201045824081046,0.34367610825182543,0.42506218225327674,0.42660248446452315,0.9805224902442676,0.9930674221378529,0.5455827296224445,0.6311980837765394,0.5880257304491553,NA,0.6220689752401183,0.9942962141803238,0.6493485509705609,0.9275802227595437,0.9205350872855816,0.6728389866606658,0.9817652686568575,0.9874478015730824,0.9382512611048657,0.9093903380306666,0.9543718470434935,0.9565888036861939,0.9109945587489314
ppt_m12_mm,-0.6368919346304623,-0.8652344654087138,-0.005525534400709336,-0.07142707079784735,0.02136793639903735,0.46765730314185094,0.6597147334264518,0.5912056948860342,0.7471260665681559,0.7868484454220057,0.8138721252923488,0.90533230600682435,0.9269569590176274,0.4975128355331777,0.5478719005883146,0.9600532445765848,0.9630751343685641,0.9829437554262521,0.6220689752401183,NA,0.6232289739195607,0.967453992321446,0.6578711922904554,0.6619148431723553,0.9670004337743247,0.6659041662092252,0.6928135997691819,0.707902933587122,0.7393607403490776,0.7277663274501792,0.7300594695799367,0.7672950191884207
tmean_m03_c,-0.9740805342291862,-0.3486675092836242,-0.11086979568991019,0.004424321191495965,0.047672067102406,-0.022646995722499827,0.01775774356169578,0.13386737546990515,0.10465485802597832,0.3079677813084162,0.35749260785705367,0.4320378780638681,0.4348168472704171,0.9689491886465128,0.9887105483671883,0.554301814738124,0.6242670864911845,0.5877769599868237,0.9942962141803238,0.6232289739195607,NA,0.6483521851830157,0.9523574848377413,0.9460748603535651,0.6763424333025418,0.9929295667796734,0.9917178694542589,0.9587465377994986,0.9325477267134034,0.971475410336704,0.9710873656210267,0.9321681877525305
ppt_m02_mm,-0.6475290614145139,-0.8223382315061759,-0.01789331083544034,-0.0507814280656073,0.025921012859291635,0.3966273920222925,0.6082821611242689,0.5255113618088723,0.68728860916225,0.7880750042733752,0.8093951261378083,0.8670996629653253,0.9002754503685838,0.5370653424641951,0.580684342624771,0.9444536607867454,0.9642638744416353,0.9749294689998741,0.6493485509705609,0.967453992321446,0.6483521851830157,NA,0.6848179104669089,0.687570377587429,0.9742766364081223,0.6852374053917891,0.710234008732714,0.7190565220905014,0.7391427735066873,0.7372901119288756,0.738318618256874,0.7643475738309845
tmean_m08_c,-0.9298607584778908,-0.46039284642303696,-0.10310350067562768,-0.054839333570601494,0.016274947761913763,0.056249271838498205,0.12070466357842317,0.19069027762819762,0.20473615147422441,0.36177409353703593,0.4372148562305321,0.48495910276987947,0.5068819574143095,0.8741624477604717,0.9129810074159066,0.6238517779419082,0.6380894275635974,0.6224990179303228,0.9275802227595437,0.6578711922904554,0.9523574848377413,0.6848179104669089,NA,0.9962014435944175,0.7100378296744244,0.9738709623766555,0.9573601355220175,0.9882257566181972,0.9728490001195532,0.9755752457557273,0.9735668249221207,0.9653495182273576
tmean_m07_c,-0.9323680072907061,-0.46375210772645953,-0.09881605175826344,-0.053703715369360486,0.014221588585477686,0.07305006284952044,0.13706280625282696,0.21682607730335762,0.2243475936680618,0.37282321037768534,0.44413257434031295,0.4886512104707077,0.5142721645860909,0.8650096526367933,0.9040077402966334,0.6266971693454957,0.6406378246175588,0.6270562382725229,0.9205350872855816,0.6619148431723553,0.9460748603535651,0.687570377587429,0.9962014435944175,NA,0.7135921803891615,0.9709129855799159,0.9544662046031395,0.9898344112042096,0.9799649030916708,0.9737932219087536,0.9741906710878105,0.9689797483534726
ppt_m03_mm,-0.6857126309285624,-0.8147711375825403,-0.025548298342986366,-0.05285790536312819,0.013217158464225396,0.45696862467747973,0.6433753149969635,0.5888229255380083,0.7127674395581338,0.8300906069877361,0.8428106099778887,0.869598227630718,0.9259011704395473,0.558312337475584,0.6060958973087823,0.954618504156044,0.9348249400151029,0.9693605103795263,0.6728389866606658,0.9670004337743247,0.6763424333025418,0.9742766364081223,0.7100378296744244,0.7135921803891615,NA,0.7153175118413196,0.7377633148428148,0.7491133277776173,0.7650746459948629,0.7627001348566761,0.7665184350425783,0.7873055328424856
tmean_ann_c,-0.9781493547137167,-0.41495749457308156,-0.09677842721709881,-0.017020691263134203,0.03947881651138683,0.04237808975912586,0.08883582063825227,0.20033697907533296,0.1836113210998383,0.3595319829037556,0.41089070751434,0.4879298614356984,0.49403996100469455,0.9395881654641872,0.9681576243102291,0.6064085747930017,0.6559930665710081,0.630500926548539,0.9817652686568575,0.6659041662092252,0.9929295667796734,0.6852374053917891,0.9738709623766555,0.9709129855799159,0.7153175118413196,NA,0.9961477040311708,0.9837614976990885,0.9643047301842818,0.9898051270216901,0.9905604598388329,0.9635637851862324
tmean_m11_c,-0.9797496705345847,-0.4333590708007543,-0.09512540517569287,-0.01033347372655392,0.048217546483879076,0.057179968373371914,0.10942601782440758,0.21881454086164695,0.2082076876440254,0.38322313677921793,0.42687504860089043,0.5161908586685336,0.5175835045073888,0.9430123203409001,0.9691935100859874,0.6266310003090055,0.6880574061866466,0.6588688331728492,0.9874478015730824,0.6928135997691819,0.9917178694542589,0.710234008732714,0.9573601355220175,0.9544662046031395,0.7377633148428148,0.9961477040311708,NA,0.9745910273784787,0.9558493077365453,0.9864480623211078,0.9886736269410589,0.9593368908401023
tmean_m09_c,-0.9585122754850061,-0.5006739103579637,-0.08160124970478305,-0.05799890805620407,0.01945718155781419,0.11890530595858893,0.17520358078900883,0.2674528008610192,0.2762636507882221,0.40252245845625073,0.46689374121350646,0.5464027309239853,0.5568747395259026,0.8755816145227556,0.9155072382866748,0.6649694200440781,0.6846959434603188,0.6699223206090963,0.9382512611048657,0.707902933587122,0.9587465377994986,0.7190565220905014,0.9882257566181972,0.9898344112042096,0.7491133277776173,0.9837614976990885,0.9745910273784787,NA,0.9919589694654051,0.9904491660399157,0.9933422684222,0.9882655381655392
tmean_m06_c,-0.9415555362549287,-0.5497397599494288,-0.061311053337054805,-0.07532802647655247,0.0122487987552525,0.16379484679166817,0.22881419543262607,0.31499717281617085,0.33556209230810247,0.419528045140028,0.4932645176740193,0.5893380372045677,0.5915299766426309,0.8352516436923902,0.8798581069706826,0.6971238763432603,0.712596193559307,0.699738874179915,0.9093903380306666,0.7393607403490776,0.9325477267134034,0.7391427735066873,0.9728490001195532,0.9799649030916708,0.7650746459948629,0.9643047301842818,0.9558493077365453,0.9919589694654051,NA,0.9823789722338384,0.9856168792748312,0.9954592174631418
tmean_m04_c,-0.9612644427162671,-0.504160427243777,-0.0744447972752454,-0.03801114768781941,0.030154604031074717,0.11350719756265701,0.18162931936826682,0.27361686327684737,0.28245812420496297,0.41998090311101727,0.47834597322426725,0.5707590622263495,0.5677291540577744,0.8901149078064134,0.9299839433750641,0.6736293801394783,0.7130069614598288,0.6928581530029908,0.9543718470434935,0.7277663274501792,0.971475410336704,0.7372901119288756,0.9755752457557273,0.9737932219087536,0.7627001348566761,0.9898051270216901,0.9864480623211078,0.9904491660399157,0.9823789722338384,NA,0.9973795502801682,0.9877158372031571
tmean_m10_c,-0.9697141495114742,-0.5039398839781545,-0.0765103509918756,-0.04175400762177365,0.032809192630061317,0.12063024542086122,0.1830170479561142,0.28134361953807474,0.28837554821919703,0.4202819139790869,0.47720706671396557,0.5703518039603855,0.5704304744386277,0.893239667410762,0.9313338795160964,0.6771186988643404,0.7136498593732956,0.6933066707806635,0.9565888036861939,0.7300594695799367,0.9710873656210267,0.738318618256874,0.9735668249221207,0.9741906710878105,0.7665184350425783,0.9905604598388329,0.9886736269410589,0.9933422684222,0.9856168792748312,0.9973795502801682,NA,0.988560586012691
tmean_m05_c,-0.939160086645315,-0.5780277948679722,-0.0551000547945106,-0.07187854479420905,0.015448951617656081,0.1792300700247016,0.25674884896842337,0.3325923466483598,0.3656305903799903,0.44629962514559324,0.5152010935274354,0.6277722166785624,0.6185583391798684,0.8301117485382337,0.8772437905720943,0.7238851616451827,0.7448555953476562,0.7292320230670277,0.9109945587489314,0.7672950191884207,0.9321681877525305,0.7643475738309845,0.9653495182273576,0.9689797483534726,0.7873055328424856,0.9635637851862324,0.9593368908401023,0.9882655381655392,0.9954592174631418,0.9877158372031571,0.988560586012691,NA
