path,type,size,permissions,modification_time,user,group,device_id,hard_links,special_device_id,inode,block_size,blocks,flags,generation,access_time,change_time,birth_time,file_type,basename,size_mb,possible_duplicate,size_variation,action,dest_path
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig/NA_CEC_Eco_Level1.shp,file,42.2M,rw-rw-r--,2010-11-29T16:12:58Z,cjtinant,staff,16777230,1,0,190541525,4096,86424,64,0,2025-04-21T00:59:10Z,2025-04-02T14:29:14Z,2010-11-29T16:12:58Z,shp,NA_CEC_Eco_Level1.shp,44.25,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/NA_CEC_Eco_Level1.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig/NA_CEC_Eco_Level2.shp,file,45M,rw-rw-r--,2010-11-29T16:13:46Z,cjtinant,staff,16777230,1,0,190541324,4096,92056,64,0,2025-04-21T00:59:15Z,2025-04-02T14:29:14Z,2010-11-29T16:13:46Z,shp,NA_CEC_Eco_Level2.shp,47.13,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/NA_CEC_Eco_Level2.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig/us_eco_l3.shp,file,39.5M,rw-------,2024-06-05T01:52:19Z,cjtinant,staff,16777230,1,0,152110708,4096,81000,64,0,2025-04-21T00:59:15Z,2025-04-02T14:29:36Z,2024-06-05T01:52:18Z,shp,us_eco_l3.shp,41.47,TRUE,TRUE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/us_eco_l3.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig/us_eco_l4_no_st.shp,file,90.6M,rw-------,2024-06-05T01:54:22Z,cjtinant,staff,16777230,1,0,152110715,4096,185584,64,0,2025-04-21T00:59:15Z,2025-04-02T14:29:38Z,2024-06-05T01:54:21Z,shp,us_eco_l4_no_st.shp,95.02,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/us_eco_l4_no_st.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig2/phzm_us_zones_shp_2023/phzm_us_zones_shp_2023.shp,file,34.9M,rw-r--r--,2025-04-08T17:35:22Z,cjtinant,staff,16777230,1,0,195373126,4096,71528,64,0,2025-04-21T00:59:15Z,2025-04-08T17:36:34Z,2025-04-08T17:35:22Z,shp,phzm_us_zones_shp_2023.shp,36.62,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/phzm_us_zones_shp_2023.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig2/us_eco_lev03/us_eco_l3.shp,file,39.5M,rw-r--r--,2025-04-08T17:35:03Z,cjtinant,staff,16777230,1,0,195372975,4096,81000,64,0,2025-04-21T00:59:15Z,2025-04-08T17:35:09Z,2025-04-08T17:35:03Z,shp,us_eco_l3.shp,41.47,TRUE,TRUE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/us_eco_l3.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/ecoregions_orig2/us_eco_lev04/us_eco_l4_no_st.shp,file,90.6M,rw-r--r--,2025-04-08T17:35:20Z,cjtinant,staff,16777230,1,0,195373071,4096,185584,64,0,2025-04-21T00:59:15Z,2025-04-08T17:36:05Z,2025-04-08T17:35:19Z,shp,us_eco_l4_no_st.shp,95.02,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/us_eco_l4_no_st.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/phzm_us_zones_shp_2023/phzm_us_zones_shp_2023.shp,file,34.9M,rw-------,2024-06-05T01:56:22Z,cjtinant,staff,16777230,1,0,152110696,4096,71528,64,0,2025-04-21T00:59:09Z,2025-03-31T18:27:47Z,2024-06-05T01:56:22Z,shp,phzm_us_zones_shp_2023.shp,36.62,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/phzm_us_zones_shp_2023.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/us_eco_lev01/NA_CEC_Eco_Level1.shp,file,42.2M,rw-r--r--,2010-11-29T16:12:58Z,cjtinant,staff,16777230,1,0,195414114,4096,86424,64,0,2025-04-21T00:59:15Z,2025-04-08T18:58:15Z,2010-11-29T16:12:58Z,shp,NA_CEC_Eco_Level1.shp,44.25,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/NA_CEC_Eco_Level1.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/us_eco_lev02/NA_CEC_Eco_Level2.shp,file,45M,rw-r--r--,2010-11-29T16:13:46Z,cjtinant,staff,16777230,1,0,195416205,4096,92056,64,0,2025-04-21T00:59:15Z,2025-04-08T19:02:40Z,2010-11-29T16:13:46Z,shp,NA_CEC_Eco_Level2.shp,47.13,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/NA_CEC_Eco_Level2.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/us_eco_lev03/us_eco_l3.shp,file,61M,rw-r--r--,2025-04-08T20:59:15Z,cjtinant,staff,16777230,1,0,195459003,4096,124960,64,0,2025-04-21T00:59:15Z,2025-04-08T22:47:48Z,2025-04-08T20:59:15Z,shp,us_eco_l3.shp,63.98,TRUE,TRUE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/us_eco_l3.shp
/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/data/raw/vector_raw/us_eco_lev04/us_eco_l4_no_st.shp,file,90.6M,rw-r--r--,2015-07-17T20:59:56Z,cjtinant,staff,16777230,1,0,195422601,4096,185584,64,0,2025-04-21T00:59:15Z,2025-04-08T19:12:42Z,2015-07-17T20:59:56Z,shp,us_eco_l4_no_st.shp,95.02,TRUE,FALSE,move,/Users/cjtinant/Documents/Rprojects_not-class/FFA_regional-skew/to_check/duplicates/us_eco_l4_no_st.shp
